ID,Source-Span,Source_Strength,Original,Constraint,Interpretation,Kube-API-Linter,Atomic,Beyond-Syntax,Diff-Closed,Objective,Grounded,Decision(Auto),Notes
block_0007_s1,145-147,obligation,"The name of a list kind must end with ""List"".","The name of a list kind must end with ""List"".",リスト種別の名前は，末尾が必ず「List」でなければならない．,,,,,,,,
block_0007_s3,145-147,obligation,"All lists use the required ""items"" field to contain the array of objects they return.","All lists must use the required ""items"" field to contain the array of objects they return.",すべてのリストは，返却するオブジェクト配列を格納するために，必須フィールドである「items」を使用しなければならない．,,,,,,,,
block_0007_s4,145-147,obligation,"All lists use the required ""items"" field to contain the array of objects they return. Any kind that has the ""items"" field must be a list kind.","All lists must use the required ""items"" field to contain the array of objects they return, and any kind that has the ""items"" field must be a list kind.",すべてのリストは，返却するオブジェクト配列を必須の「items」フィールドに入れなければならず，「items」フィールドを持つ種別はリスト種別でなければならない．,,,,,,,,
block_0008_s1,149-152,recommendation,"Most objects defined in the system should have an endpoint that returns the full set of resources, as well as zero or more endpoints that return subsets of the full list. Some objects may be singletons (the current user, the system defaults) and may not have lists.","Most objects defined in the system should have an endpoint that returns the full set of resources and zero or more endpoints that return subsets of the full list, while singleton objects may not have lists.",システムで定義される多くのオブジェクトには，全リソース集合を返すエンドポイントと，必要に応じてその部分集合を返すエンドポイントを用意することが望ましい．ただし，現在のユーザーやシステム既定値のようなシングルトンはリストを持たなくてもよい．,,,,,,,,
block_0009_s1,154-157,recommendation,"In addition, all lists that return objects with labels should support label filtering (see the labels documentation), and most lists should support filtering by fields (see the fields documentation).","All lists that return objects with labels should support label filtering, and most lists should support filtering by fields.",ラベル付きオブジェクトを返すすべてのリストはラベルによるフィルタリングをサポートすることが望ましく，多くのリストはフィールドによるフィルタリングをサポートすることが望ましい．,,,,,,,,
block_0015_s2,175-178,recommendation,"Many simple resources are ""subresources"", which are rooted at API paths of specific resources. When resources wish to expose alternative actions or views that are closely coupled to a single resource, they should do so using new sub-resources.",Resources that expose alternative actions or views closely coupled to a single resource should do so using new subresources rooted at API paths of specific resources.,単一リソースに密接に結び付いた代替アクションやビューを公開するリソースは，そのリソース固有のAPIパス配下に置かれる新しいサブリソースとして公開することが望ましい．,,,,,,,,
block_0017_s3,183-189,recommendation,"`/status`: Used to write just the `status` portion of a resource. For example, the `/pods` endpoint only allows updates to `metadata` and `spec`, since those reflect end-user intent. An automated process should be able to modify status for users to see by sending an updated Pod kind to the server to the ""/pods/&lt;name&gt;/status"" endpoint - the alternate endpoint allows different rules to be applied to the update, and access to be appropriately restricted.","An automated process should be able to modify the status portion of a resource by sending an updated resource kind to the resource's ""/status"" endpoint, allowing different update rules and appropriately restricted access.",自動化されたプロセスは，対象リソースの「/status」エンドポイントへ更新済みリソース種別を送ることで，リソースのstatus部分を変更できることが望ましい．この別エンドポイントにより，通常更新とは異なるルールと適切に制限されたアクセスを適用できる．,,,,,,,,
block_0020_s1,197-200,obligation,The standard REST verbs (defined below) MUST return singular JSON objects.,The standard REST verbs must return singular JSON objects.,標準REST動詞は，単一のJSONオブジェクトを返さなければならない．,,,,,,,,
block_0022_s2,212-213,recommendation,"The term ""kind"" is reserved for these ""top-level"" API types. The term ""type"" should be used for distinguishing sub-categories within objects or subobjects.","The term ""kind"" should be reserved for top-level API types, and the term ""type"" should be used for distinguishing subcategories within objects or subobjects.",「kind」という用語はトップレベルAPI型のために予約しておくことが望ましく，オブジェクトまたはサブオブジェクト内の下位分類を区別する場合は「type」を使用することが望ましい．,,,,,,,,
block_0023_s1,217-217,obligation,All JSON objects returned by an API MUST have the following fields: kind: a string that identifies the schema this object should have apiVersion: a string that identifies the version of the schema the object should have,"All JSON objects returned by an API must have a ""kind"" string field that identifies the schema the object should have and an ""apiVersion"" string field that identifies the version of the schema the object should have.",APIが返すすべてのJSONオブジェクトは，そのオブジェクトが従うべきスキーマを識別する文字列フィールド「kind」と，そのスキーマのバージョンを識別する文字列フィールド「apiVersion」を持たなければならない．,,,,,,,,
block_0024_s1,219-219,recommendation,All JSON objects returned by an API MUST have the following fields: kind: a string that identifies the schema this object should have,"All JSON objects returned by an API should have a ""kind"" string field that identifies the schema the object should have.",APIが返すすべてのJSONオブジェクトは，そのオブジェクトが従うべきスキーマを識別する文字列フィールド「kind」を持つことが望ましい．,,,,,,,,
block_0025_s1,220-221,recommendation,All JSON objects returned by an API MUST have the following fields: apiVersion: a string that identifies the version of the schema the object should have,"All JSON objects returned by an API should have an ""apiVersion"" string field that identifies the version of the schema the object should have.",APIが返すすべてのJSONオブジェクトは，そのオブジェクトが従うべきスキーマのバージョンを識別する文字列フィールド「apiVersion」を持つことが望ましい．,,,,,,,,
