ID,Source-Span,Source_Strength,Original,Constraint(s),Interpretation,Atomic,Beyond-Syntax,Diff-Code-Related,Objective,Grounded,Decision(Auto),Notes,random
norm_115,991-994,must,"Static defaults are the best choice for values which are logically required, but which have a value that works well for most users.  Static defaulting must not consider any state except the object being operated upon (and the complexity of Service API stands as an example of why).",Static defaulting must not consider any state except the object being operated upon (and the complexity of Service API stands as an example of why).,静的デフォルトは操作対象のオブジェクト以外の状態を考慮してはならない．,,,,,,,,0.000849693917
norm_004,145-147,must,"The name of a list kind must end with ""List"". Lists have a limited set of common metadata. All lists use the required ""items"" field to contain the array of objects they return. Any kind that has the ""items"" field must be a list kind.","Any kind that has the ""items"" field must be a list kind.",「items」フィールドを持つkindは必ずリスト型でなければならない．非リスト型にitemsフィールドを定義してはならない．,,,,,,,,0.001049694045
norm_107,862-862,must,"- They _typically_ do not use pointer types in the Go definition (e.g. `AnotherFlag SomeFlag`), though required fields where the zero value is a valid value must use pointer types, paired with an `omitempty` struct tag to avoid spurious null serializations.","They _typically_ do not use pointer types in the Go definition (e.g. `AnotherFlag SomeFlag`), though required fields where the zero value is a valid value must use pointer types, paired with an `omitempty` struct tag to avoid spurious null serializations.",ゼロ値が有効な値であるrequiredフィールドは，ポインタ型を使用し，omitempty構造体タグと組み合わせて偽のnullシリアライゼーションを避けなければならない．,,,,,,,,0.003294798134
norm_045,403-408,should,"* Condition type names should describe the current observed state of the resource, rather than describing the current state transitions. This typically means that the name should be an adjective (""Ready"", ""OutOfDisk"") or a past-tense verb (""Succeeded"", ""Failed"") rather than a present-tense verb (""Deploying""). Intermediate states may be indicated by setting the `status` of the condition to `Unknown`.","Condition type names should describe the current observed state of the resource, rather than describing the current state transitions. This typically means that the name should be an adjective (""Ready"", ""OutOfDisk"") or a past-tense verb (""Succeeded"", ""Failed"") rather than a present-tense verb (""Deploying""). Intermediate states may be indicated by setting the `status` of the condition to `Unknown`.",Condition type名は現在の観測状態を表すべきであり，状態遷移そのものを表すべきではない．形容詞（Ready）や過去形動詞（Succeeded）が望ましく，現在形動詞（Deploying）は避ける．,,,,,,,,0.01011565662
norm_144,1264-1265,should,"Controllers should be authored with the assumption that the referenced resource may not exist, and include error handling to make the issue clear to the user.","Controllers should be authored with the assumption that the referenced resource may not exist, and include error handling to make the issue clear to the user.",コントローラーは参照先リソースが存在しない可能性を前提として作成し，ユーザーに問題を明確に伝えるエラーハンドリングを含めるべきである．,,,,,,,,0.01119334671
norm_065,614-623,should,"Some fields will have a list of allowed values (enumerations). These values will be strings, and they will be in CamelCase, with an initial uppercase letter. Examples: `ClusterFirst`, `Pending`, `ClientIP`. When an acronym or initialism each letter in the acronym should be uppercase, such as with `ClientIP` or `TCPDelay`. When a proper name or the name of a command-line executable is used as a constant the proper name should be represented in consistent casing - examples: `systemd`, `iptables`, `IPVS`, `cgroupfs`, `Docker` (as a generic concept), `docker` (as the command-line executable). If a proper name is used which has mixed capitalization like `eBPF` that should be preserved in a longer constant such as `eBPFDelegation`.","When an acronym or initialism each letter in the acronym should be uppercase, such as with `ClientIP` or `TCPDelay`.","頭字語の各文字は大文字にすべきである（例: ClientIP, TCPDelay）．",,,,,,,,0.01168100266
norm_134,1190-1193,must,"Units must either be explicit in the field name (e.g., `timeoutSeconds`), or must be specified as part of the value (e.g., `resource.Quantity`). Which approach is preferred is TBD, though currently we use the `fooSeconds` convention for durations.","Units must either be explicit in the field name (e.g., `timeoutSeconds`), or must be specified as part of the value (e.g., `resource.Quantity`).",単位はフィールド名に明示するか（例: timeoutSeconds），値の一部として指定しなければならない（例: resource.Quantity）．,,,,,,,,0.01232348469
norm_196,2001-2002,should,"All string fields should be checked for maximum length.  If the field has a minimum length, that should also be checked.",All string fields should be checked for maximum length.,すべての文字列フィールドは最大長のチェックを行うべきである．,,,,,,,,0.01918631217
norm_173,1819-1820,must,* The name of a namespace must be a [DNS_LABEL](https://git.k8s.io/design-proposals-archive/architecture/identifiers.md).,The name of a namespace must be a DNS_LABEL.,namespace名はDNS_LABELでなければならない．,,,,,,,,0.02326956781
norm_087,710-711,should,* PATCH /&lt;resourceNamePlural&gt;/&lt;name&gt; - Selectively modify the specified fields of the resource. See more information [below](#patch-operations).,API resources should use the traditional REST pattern: PATCH /&lt;resourceNamePlural&gt;/&lt;name&gt; - Selectively modify the specified fields of the resource. See more information below.,PATCH /<リソース名複数形>/<名前>でリソースの指定フィールドを選択的に変更するエンドポイントを提供すべきである．,,,,,,,,0.04151051452
