Rule,Status,Area,Keywords,Content,Review Hint,Notes
commentstart,enabled,Comments,"comment; godoc; field name; serialized name; starts with",API field の Go doc comment が，対応する serialized field name から始まるかを確認する．comment の内容理解ではなく，comment の先頭語と field name の機械的対応を見る rule,209 件では直接対応する候補はほぼない．`comment tag` はこの rule ではなく optional/required marker の話なので `optionalorrequired` を見る．field doc comment の開始形式そのものを扱う候補が出た時だけ参照する,既存 API group には広い例外設定がある
conditions,enabled,Conditions,"condition; conditions; metav1.Condition; patchStrategy; patchMergeKey; protobuf",Conditions field の構造を確認する．主に `[]metav1.Condition` であるか，JSON/protobuf tag や patch merge marker が Kubernetes condition の構造規約に合っているかを見る rule,209 件では `block_0050_s3` のような Conditions collection の map/key 的な構造は近い．一方で `block_0052_s1`, `block_0056_s1`, `block_0057_s1`, `block_0058_s2` などの「condition がユーザーに有用か」「名前が意味的に良いか」はこの rule では拾えないので Beyond-Syntax=true 寄り,一部の検査は SuggestFix 設定．互換性例外が複数ある
conflictingmarkers,enabled,Field markers,"optional; required; marker; conflict; default; kubebuilder",同じ API field に相互排他的な marker が同時に付いていないかを確認する．設定上は optional と required の衝突，required と default の衝突を見る,209 件では直接対応候補は少ない．`block_0154_s1` や `block_0164_s2` は optional/required の明示なので `optionalorrequired` 寄り．「同じ field が optional かつ required」「required なのに default あり」のような候補が出た時だけこの rule を見る,optional_vs_required と required_vs_default の conflict set が設定されている
integers,enabled,Field types,"int; integer; int32; int64",public API field の整数型が platform 依存の `int` ではなく，明示幅を持つ `int32` または `int64` になっているかを確認する,209 件では `block_0085_s1` が直接対応．`block_0088_s2` の int64 bounds check や `block_0087_s1` の unsigned integer 回避は関連はあるが同一 rule とは限らないので，人間判断で切り分ける,
jsontags,enabled,JSON tags,"json; json tag; json tags; json:",API field が JSON serialization 用の `json` tag を持ち，命名規約に合っているかを確認する,209 件では直接対応候補は見当たらない．`json tag` や ``json:`` を明示的に扱う候補が出た時だけ Beyond-Syntax=false 寄りとして参照する,JSON tag regex は kube-api-linter の default を使う
nomaps,enabled,Field types,"map; maps; map type; map[string]; list type; unique key",API field で避けるべき map type を使っていないかを確認する．map ではなく，key を持つ list 型で表現すべき API evolution/SSA 上の問題を検出する rule,209 件では直接対応候補はほぼない．`map` という語が出ても Conditions collection の map 的解釈など semantic な話ならこの rule とは別．「field type が map であること」自体を禁止する候補だけ参照する,string-to-string map の扱いは kube-api-linter default．互換性例外が多い
nonpointerstructs,enabled,Field types,"struct; pointer; non-pointer struct; optional; required",non-pointer struct field が optional/required marker と整合しているかを確認する．struct field の zero value と requiredness の扱いを marker から機械的に見る rule,209 件では直接対応候補は見当たらない．`block_0169_s1` など pointer と requiredness の話は `optionalfields` / `requiredfields` 寄りで，non-pointer struct に限定される時だけこの rule を見る,optionalorrequired と組み合わせて使われる
nonullable,enabled,Field markers,"nullable; null; +nullable",API field が nullable として marker 付けされていないかを確認する．null と unset の意味的区別そのものではなく，nullable marker の使用を検出する rule,209 件では `block_0197_s1` が近いが，これは API design として null/unset 区別を避ける話なので，nullable marker だけの機械検出とは限らない．`+nullable` や nullable marker を直接扱う場合だけ Beyond-Syntax=false 寄り,
notimestamp,enabled,Naming,"timestamp; time; naming",API field 名で `Timestamp` ではなく `Time` を使うべき箇所を確認する．意味的な時刻設計ではなく，field naming の語選択を見る rule,209 件では `block_0460_s1` と `block_0460_s2` が直接対応．metadata の `creationTimestamp` のような既存 field 名参照だけなら互換性例外や既存 API の可能性を確認する,legacy timestamp field には互換性例外がある
optionalfields,enabled,Field markers,"optional; pointer; omitempty; omitzero; json tag",optional field が pointer や `omitempty` を適切に使い，この設定で禁止される `omitzero` を使っていないかを確認する．optional marker そのものではなく，serialization と pointer shape を見る rule,209 件では `block_0169_s1`, `block_0175_s1`, `block_0178_s2`, `block_0182_s1`, `block_0184_s1` が近い．`block_0164_s2` のような +optional/+required 明示は `optionalorrequired` 寄り,pointer と omitempty は SuggestFix．omitzero は Forbid
